Unique_ID,City,Latitude,Longitude,Country
221,Algiers,36.7539,3.0589,Algeria
222,Tangshan,39.6294,118.1739,China
223,Shiyan,32.629,110.7987,China
224,Lucknow,26.85,80.95,India
225,Mashhad,36.3264,59.5433,Iran
226,San Francisco,37.7558,-122.4449,United States
227,Boankra,6.6944,-1.4028,Ghana
228,Dubai,25.2631,55.2972,United Arab Emirates
229,Anshan,41.108,122.994,China
230,Baojishi,34.363,107.238,China
231,Qinzhou,21.981,108.654,China
232,Guiyang,26.647,106.63,China
233,Bengbu,32.917,117.389,China
234,Atlanta,33.7628,-84.422,United States
235,Suining,30.533,105.593,China
236,Wuxi,31.491,120.312,China
237,Kotla Qasim Khan,32.5833,73.75,Pakistan
238,Hanzhong,33.0664,107.0232,China
239,Putian,25.4526,119.0078,China
240,Zhenjiang,32.188,119.424,China
241,Guang'an,30.4564,106.6326,China
242,Faisalabad,31.4167,73.0911,Pakistan
243,Changzhi,36.195,113.117,China
244,Tongren,27.7316,109.1895,China
245,Leshan,29.552,103.766,China
246,Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia
247,Qinhuangdao,39.8882,119.5202,China
248,Jaipur,26.9,75.8,India
249,Atlanta,33.7628,-84.422,United States
250,Lanzhou,36.0606,103.8268,China
251,Wuzhou,23.4767,111.279,China
252,Athens,37.9842,23.7281,Greece
253,San Diego,32.8313,-117.1222,United States
254,Addis Ababa,9.03,38.74,Ethiopia
255,Taichung,24.1439,120.6794,Taiwan
256,Huainan,32.6314,117.0194,China
257,Guatemala City,14.6133,-90.5353,Guatemala
258,Kuwait City,29.3697,47.9783,Kuwait
259,Budapest,47.4925,19.0514,Hungary
260,Qincheng,34.5809,105.7311,China
261,Rizhao,35.417,119.527,China
262,Quezon City,14.65,121.0475,Philippines
263,Sanaa,15.3483,44.2064,Yemen
264,Tashkent,41.3111,69.2797,Uzbekistan
265,Kyiv,50.45,30.5233,Ukraine
266,Meishan,30.0771,103.8484,China
267,Atlanta,33.7628,-84.422,United States
268,Birmingham,52.48,-1.9025,United Kingdom
269,Ningde,26.6662,119.5477,China
270,Zhongshan,22.517,113.3925,China
271,Weihai,37.5133,122.1205,China
272,Bursa,40.1833,29.05,Turkey
273,Minneapolis,44.9635,-93.2678,United States
274,Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa)
275,Haikou,20.0186,110.3488,China
276,Tongliao,43.654,122.243,China
277,Chaoyang,41.571,120.453,China
278,La Paz,-16.4958,-68.1333,Bolivia
279,Pyongyang,39.0167,125.7475,"Korea, North"
280,Tampa,27.9945,-82.4447,United States
281,Atlanta,33.7628,-84.422,United States
282,Heyuan,23.7443,114.7002,China
283,Brasilia,-15.7939,-47.8828,Brazil
284,Omdurman,15.65,32.4833,Sudan
285,Malang,-7.98,112.62,Indonesia
286,Stuttgart,48.7775,9.18,Germany
287,Daqing,46.589,125.104,China
288,Rome,41.8933,12.4828,Italy
289,Brooklyn,40.6501,-73.9496,United States
290,Kaohsiung,22.615,120.2975,Taiwan
291,Xiangtan,27.8313,112.9454,China
292,Longyan,25.076,117.017,China
293,Atlanta,33.7628,-84.422,United States
294,Handan,36.601,114.487,China
295,Jinzhou,41.129,121.148,China
296,Atlanta,33.7628,-84.422,United States
297,Denver,39.762,-104.8758,United States
298,Nanping,26.6418,118.1774,China
299,Gazipura,23.9889,90.375,Bangladesh
300,Shanwei,22.7872,115.3756,China
301,Chaozhou,23.658,116.622,China
302,Guayaquil,-2.19,-79.8875,Ecuador
303,Weifang,36.708,119.162,China
304,Huai'an,33.551,119.113,China
305,Zibo,36.8138,118.055,China
306,Ankang,32.6854,109.029,China
307,Mogadishu,2.0392,45.3419,Somalia
308,Munich,48.1375,11.575,Germany
309,Gulou,26.0865,119.298,China
310,Taipei,25.0375,121.5625,Taiwan
311,Bekasi,-6.2349,106.9923,Indonesia
312,Damascus,33.5131,36.2919,Syria
313,Sanming,26.2634,117.6389,China
314,Yangjiang,21.857,111.983,China
315,Jiamusi,46.8,130.319,China
316,Luohe,33.583,114.0109,China
317,Medellin,6.2308,-75.5906,Colombia
318,Dingxi,35.608,104.592,China
319,Shaoxing,30.0511,120.5833,China
320,Atlanta,33.7628,-84.422,United States
321,Huizhou,23.112,114.416,China
322,Lishui,28.468,119.923,China
323,Texas,33.7628,-84.422,United States
324,Khowrhesht,36.205,49.6872,Iran
325,Mirzapur,25.146,82.569,India
326,Zigong,29.339,104.779,China
327,Hamburg,53.55,10,Germany
328,Guangyuan,32.436,105.844,China
329,Cali,3.4206,-76.5222,Colombia
330,Huangshi,30.2011,115.039,China
331,Xining,36.6224,101.7804,China
332,Lusaka,-15.4167,28.2833,Zambia
333,Ouagadougou,12.3686,-1.5275,Burkina Faso
334,Yaounde,3.8667,11.5167,Cameroon
335,California,33.7628,-84.422,United States
336,Huludao,40.711,120.837,China
337,Baoshan,25.112,99.161,China
338,Mecca,21.4225,39.8233,Saudi Arabia
